출발 행정동 코드,도착 행정동 코드,이동인구(합)
11010,11010,98483541.1
11010,11020,25755146.97
11010,11030,7134860.39
11010,11040,6274816.87
11010,11050,3670689.85
11010,11060,9482388.15
11010,11070,3363574.61
11010,11080,18003770.73
11010,11090,5861935.8
11010,11100,3712883.82
11010,11110,5375895.53
11010,11120,9500866.18
11010,11130,15007691.64
11010,11140,8258024.04
11010,11150,2374793.66
11010,11160,3807285.25
11010,11170,2453883.53
11010,11180,982393.18
11010,11190,5329354.1
11010,11200,3242368.49
11010,11210,2924823.33
11010,11220,5830390.76
11010,11230,7770350.75
11010,11240,4653697.03
11010,11250,2926371.68
11010,23010,702807.28
11010,23020,54511.04
11010,23030,479333.1
11010,23040,404268.44
11010,23050,574696.59
11010,23060,926874.26
11010,23070,477202.1
11010,23080,1066710.67
11010,23310,105304.28
11010,23320,6779.58
11010,31011,410971.07
11010,31012,392449.44
11010,31013,338641.36
11010,31014,538184.11
11010,31021,677551.66
11010,31022,415612.25
11010,31023,2173882.82
11010,31030,2399777.58
11010,31041,541475.07
11010,31042,947908.6
11010,31050,2273111.2399999998
11010,31060,833487.51
11010,31070,315636.6
11010,31080,295455.02
11010,31091,384972.49
11010,31092,367621.2
11010,31101,4379339.45
11010,31103,1706714.51
11010,31104,1298996.78
11010,31110,556962.23
11010,31120,1033182.82
11010,31130,2853523.92
11010,31140,195276.38
11010,31150,544909.5
11010,31160,601574.84
11010,31170,351686.19
11010,31180,1361793.42
11010,31191,413344.71
11010,31192,988002.3
11010,31193,1030394.26
11010,31200,1227211.93
11010,31210,191538.83
11010,31220,159066.08
11010,31230,1302698.07
11010,31240,808621.39
11010,31250,626515.77
11010,31260,977537.73
11010,31270,283511.5
11010,31280,127949.68
11010,31350,61431.44
11010,31370,196647.79
11010,31380,432699.01
11020,11010,26200336.79
11020,11020,97910162.47
11020,11030,13269534.04
11020,11040,14338180.55
11020,11050,4840370.29
11020,11060,8462212.84
11020,11070,3396075.4
11020,11080,9988395.13
11020,11090,5001597.29
11020,11100,3336818.51
11020,11110,5014988.97
11020,11120,6276070.38
11020,11130,10755948.58
11020,11140,9947179.63
11020,11150,2446512.91
11020,11160,4003400.91
11020,11170,2930542.72
11020,11180,1202605.96
11020,11190,6325472.39
11020,11200,4027102.09
11020,11210,3870103.16
11020,11220,6992453.55
11020,11230,10012475.24
11020,11240,5525751.04
11020,11250,3248872.15
11020,23010,940608.18
11020,23020,66131.89
11020,23030,530465.57
11020,23040,486331.98
11020,23050,590792.43
11020,23060,1078738.48
11020,23070,533196.88
11020,23080,1324733.04
11020,23310,83549.41
11020,23320,6915.42
11020,31011,409085.12
11020,31012,476464.02
11020,31013,404151.43
11020,31014,715730.01
11020,31021,818550.73
11020,31022,490155.84
11020,31023,2680081.53
11020,31030,2084579.45
11020,31041,585589.02
11020,31042,1176681.2
11020,31050,2660548.13
11020,31060,941787.14
11020,31070,339080.45
11020,31080,180945.79
11020,31091,474168.17
11020,31092,465939.77
11020,31101,3634610.16
11020,31103,1620813.14
11020,31104,1276673.15
11020,31110,660177.79
11020,31120,1099246.13
11020,31130,2975707.84
11020,31140,203939.84
11020,31150,628997.33
11020,31160,738853.59
11020,31170,459851.58
11020,31180,1558282.06
11020,31191,456112.63
11020,31192,1161147.28
11020,31193,1193196.77
11020,31200,1267044.08
11020,31210,189658.38999999998
11020,31220,149231.63999999998
11020,31230,1555946.89
11020,31240,1052765.09
11020,31250,752943.42
11020,31260,714778.62
11020,31270,224014.82
11020,31280,117232.23
11020,31350,40018.74
11020,31370,181717.65
11020,31380,362725.48
11030,11010,6765777.29
11030,11020,13046552.8
11030,11030,88016845.99
11030,11040,5003983.31
11030,11050,2110242.54
11030,11060,2612384.69
11030,11070,1350329.35
11030,11080,3199662.12
11030,11090,1484563.7
11030,11100,1035940.02
11030,11110,1906655.12
11030,11120,2661961.7
11030,11130,5085901.47
11030,11140,13023052.1
11030,11150,1606764.61
11030,11160,2898118.0
11030,11170,2219111.67
11030,11180,1062660.06
11030,11190,7041750.82
11030,11200,6609232.47
11030,11210,3617089.79
11030,11220,9001340.05
11030,11230,10179663.63
11030,11240,3254587.91
11030,11250,1433259.52
11030,23010,846087.0
11030,23020,42533.28
11030,23030,390781.6
11030,23040,418020.2
11030,23050,425250.34
11030,23060,754580.05
11030,23070,362042.42
11030,23080,830926.12
11030,23310,97674.82
11030,23320,6901.9
11030,31011,275274.59
11030,31012,323653.09
11030,31013,282672.29
11030,31014,445534.66
11030,31021,508301.38
11030,31022,233247.87
11030,31023,1663213.22
11030,31030,723684.22
11030,31041,412518.41
11030,31042,922879.8099999999
11030,31050,1872037.84
11030,31060,712388.51
11030,31070,412386.62
11030,31080,99115.92
11030,31091,276533.57
11030,31092,343425.31
11030,31101,2077652.04
11030,31103,1003508.64
11030,31104,743894.96
11030,31110,723956.12
11030,31120,558924.65
11030,31130,1500884.47
11030,31140,139349.08
11030,31150,452886.55
11030,31160,510621.28
11030,31170,343075.3
11030,31180,824857.96
11030,31191,357100.62
11030,31192,651755.96
11030,31193,587805.19
11030,31200,1056610.17
11030,31210,159228.13
11030,31220,119037.67
11030,31230,1051894.22
11030,31240,699792.75
11030,31250,472916.49
11030,31260,364866.55
11030,31270,166099.3
11030,31280,115895.03
11030,31350,36834.12
11030,31370,261009.63999999998
11030,31380,300495.23
11040,11010,6247915.74
11040,11020,14267361.68
11040,11030,5116128.07
11040,11040,107435089.61
11040,11050,17679223.47
11040,11060,15017553.31
11040,11070,4569318.07
11040,11080,4529423.8
11040,11090,2016344.74
11040,11100,1424532.02
11040,11110,3090723.53
11040,11120,1447898.49
11040,11130,2263396.73
11040,11140,3354084.1
11040,11150,777017.08
11040,11160,1519311.66
11040,11170,1091232.3
11040,11180,534110.72
11040,11190,2720131.26
11040,11200,1653535.2
11040,11210,1736609.21
11040,11220,5788187.67
11040,11230,15371326.6
11040,11240,6488774.53
11040,11250,3564932.15
11040,23010,530411.97
11040,23020,18435.71
11040,23030,171691.52
11040,23040,193601.51
11040,23050,221377.77
11040,23060,331212.06
11040,23070,172594.77
11040,23080,423190.47
11040,23310,65007.86
11040,23320,6943.5199999999995
11040,31011,168691.58
11040,31012,189427.18
11040,31013,172321.09
11040,31014,333764.33
11040,31021,875609.25
11040,31022,522324.08999999997
11040,31023,1777484.1
11040,31030,1221086.65
11040,31041,198017.86
11040,31042,458635.43
11040,31050,806965.77
11040,31060,343228.57
11040,31070,173467.63999999998
11040,31080,119076.23
11040,31091,177350.12
11040,31092,204902.12
11040,31101,1037935.19
11040,31103,503420.4
11040,31104,380464.89
11040,31110,318740.61
11040,31120,1474319.6
11040,31130,3205221.45
11040,31140,86554.1
11040,31150,268835.84
11040,31160,238038.39
11040,31170,177428.73
11040,31180,1850646.85
11040,31191,315124.89
11040,31192,602689.73
11040,31193,566735.08
11040,31200,525411.24
11040,31210,214207.56
11040,31220,125074.93
11040,31230,511530.31
11040,31240,511745.4
11040,31250,760365.56
11040,31260,477824.12
11040,31270,313432.75
11040,31280,136973.86
11040,31350,34578.38
11040,31370,254735.04
11040,31380,515436.16
11050,11010,3570532.9899999998
11050,11020,4776604.67
11050,11030,2097199.8
11050,11040,17276859.46
11050,11050,133773856.88
11050,11060,7805227.83
11050,11070,8761265.66
11050,11080,2304493.72
11050,11090,1132507.45
11050,11100,1114319.77
11050,11110,3640892.07
11050,11120,776643.0
11050,11130,1404396.52
11050,11140,2284463.45
11050,11150,548439.73
11050,11160,1147187.53
11050,11170,896671.14
11050,11180,540780.83
11050,11190,2061907.44
11050,11200,1583839.42
11050,11210,1514288.03
11050,11220,5264410.43
11050,11230,14866662.16
11050,11240,12737044.35
11050,11250,8219909.5
11050,23010,520533.25
11050,23020,13494.39
11050,23030,131081.23
11050,23040,165700.51
11050,23050,177936.39
11050,23060,249892.57
11050,23070,121450.5
11050,23080,308545.05
11050,23310,59129.12
11050,23320,7481.8
11050,31011,148437.87
11050,31012,170780.1
11050,31013,158254.72
11050,31014,279621.99
11050,31021,1037249.36
11050,31022,560042.81
11050,31023,1740978.71
11050,31030,1248555.08
11050,31041,165387.24
11050,31042,390207.65
11050,31050,647609.08
11050,31060,288076.79
11050,31070,207936.39
11050,31080,110771.76
11050,31091,151122.48
11050,31092,190549.7
11050,31101,615206.4
11050,31103,314443.02
11050,31104,243018.27
11050,31110,285950.71
11050,31120,3479202.37
11050,31130,4693063.57
11050,31140,101815.49
11050,31150,243730.5
11050,31160,198064.63999999998
11050,31170,168331.29
11050,31180,3350966.18
11050,31191,337390.18
11050,31192,565549.44
11050,31193,510627.46
11050,31200,396419.66
11050,31210,337866.77999999997
11050,31220,157580.3
11050,31230,372200.39
11050,31240,518750.78
11050,31250,981496.79
11050,31260,476626.64
11050,31270,438129.23
11050,31280,203915.98
11050,31350,42964.18
11050,31370,352431.37
11050,31380,578117.4
11060,11010,9209997.5
11060,11020,8403260.04
11060,11030,2668458.42
11060,11040,14904584.95
11060,11050,7703870.0
11060,11060,112916296.61
11060,11070,14075243.93
11060,11080,15046814.52
11060,11090,3640859.42
11060,11100,2790617.21
11060,11110,6793675.25
11060,11120,1357002.53
11060,11130,1954660.71
11060,11140,2699007.39
11060,11150,572541.86
11060,11160,1168598.08
11060,11170,949200.99
11060,11180,477832.55
11060,11190,2124028.98
11060,11200,1192110.93
11060,11210,983423.78
11060,11220,3001077.59
11060,11230,6789988.07
11060,11240,3865593.06
11060,11250,2861718.28
11060,23010,543500.73
11060,23020,20679.99
11060,23030,167143.04
11060,23040,148611.25
11060,23050,184643.92
11060,23060,294802.34
11060,23070,130182.42
11060,23080,341651.85
11060,23310,70416.14
11060,23320,7540.22
11060,31011,122964.06
11060,31012,146942.59
11060,31013,137137.36
11060,31014,193697.63
11060,31021,503056.52
11060,31022,283767.49
11060,31023,907932.08
11060,31030,2327258.69
11060,31041,183338.36
11060,31042,324243.27
11060,31050,718802.5
11060,31060,267721.13
11060,31070,163491.73
11060,31080,296457.86
11060,31091,127034.23
11060,31092,182412.82
11060,31101,939207.26
11060,31103,425323.07
11060,31104,307890.09
11060,31110,217214.33
11060,31120,1957767.94
11060,31130,4924138.89
11060,31140,88457.86
11060,31150,228919.48
11060,31160,199914.26
11060,31170,130015.81
11060,31180,1438578.35
11060,31191,259170.13
11060,31192,370639.69
11060,31193,281001.2
11060,31200,498259.23
11060,31210,201691.5
11060,31220,98615.59
11060,31230,386308.78
11060,31240,357870.19
11060,31250,519561.52
11060,31260,881325.19
11060,31270,482401.82
11060,31280,129826.53
11060,31350,76993.39
11060,31370,400605.93
11060,31380,744571.0
11070,11010,3303179.58
11070,11020,3440537.28
11070,11030,1374147.8
11070,11040,4602113.31
11070,11050,8518436.56
11070,11060,14030004.19
11070,11070,107977944.49
11070,11080,3748959.33
11070,11090,1619107.15
11070,11100,2135015.84
11070,11110,13844881.64
11070,11120,502220.75
11070,11130,754421.84
11070,11140,1285403.32
11070,11150,245193.71
11070,11160,641483.48
11070,11170,515605.27999999997
11070,11180,333376.83
11070,11190,1175135.73
11070,11200,710310.29
11070,11210,543399.08
11070,11220,2830983.96
11070,11230,6915806.85
11070,11240,3334932.26
11070,11250,2512004.42
11070,23010,332249.04
11070,23020,8986.72
11070,23030,78883.87
11070,23040,86965.31
11070,23050,106864.22
11070,23060,141208.66999999998
11070,23070,79747.32
11070,23080,201725.88999999998
11070,23310,55902.82
11070,23320,7908.05
11070,31011,68712.86
11070,31012,89592.44
11070,31013,81487.19
11070,31014,106333.26
11070,31021,354700.93
11070,31022,218706.72
11070,31023,626383.32
11070,31030,1903574.31
11070,31041,89142.87
11070,31042,190628.12
11070,31050,351345.46
11070,31060,151639.9
11070,31070,128606.38
11070,31080,174366.46
11070,31091,76756.36
11070,31092,118542.12
11070,31101,482316.55
11070,31103,240297.75
11070,31104,169913.49
11070,31110,185247.34
11070,31120,5409079.07
11070,31130,10271862.56
11070,31140,57595.33
11070,31150,156857.18
11070,31160,99632.64
11070,31170,78072.54
11070,31180,1441790.68
11070,31191,204659.79
11070,31192,206005.28
11070,31193,147831.72
11070,31200,346923.24
11070,31210,221918.94
11070,31220,94523.37
11070,31230,250225.22
11070,31240,291354.15
11070,31250,488141.21
11070,31260,815057.42
11070,31270,693363.97
11070,31280,134197.21
11070,31350,65716.33
11070,31370,564369.28
11070,31380,774327.55
11080,11010,17751592.03
11080,11020,10144634.49
11080,11030,3295848.04
11080,11040,4567761.85
11080,11050,2285233.96
11080,11060,15007003.89
11080,11070,3736525.04
11080,11080,130583850.53
11080,11090,20291606.36
11080,11100,5229782.3
11080,11110,11333878.3
11080,11120,1786577.14
11080,11130,2653773.8
11080,11140,3333896.57
11080,11150,620211.13
11080,11160,1241303.85
11080,11170,843792.04
11080,11180,443946.69
11080,11190,2303646.7
11080,11200,1172161.79
11080,11210,977425.87
11080,11220,3545243.73
11080,11230,6223881.27
11080,11240,2653985.73
11080,11250,1283085.7
11080,23010,586821.55
11080,23020,18292.67
11080,23030,140675.3
11080,23040,160385.63999999998
11080,23050,167125.61
11080,23060,230602.74
11080,23070,125329.01
11080,23080,336079.51
11080,23310,95686.27
11080,23320,9092.36
11080,31011,125680.65
11080,31012,125605.05
11080,31013,118186.64
11080,31014,189756.22
11080,31021,327691.35
11080,31022,190286.19
11080,31023,860441.57
11080,31030,2223718.41
11080,31041,146522.96
11080,31042,343766.74
11080,31050,578000.52
11080,31060,244841.41
11080,31070,159731.3
11080,31080,234732.3
11080,31091,126274.03
11080,31092,176848.95
11080,31101,1245604.67
11080,31103,514751.11
11080,31104,365150.07
11080,31110,297075.79
11080,31120,896230.38
11080,31130,3025251.71
11080,31140,71345.7
11080,31150,221678.78
11080,31160,181660.91
11080,31170,127771.04
11080,31180,744273.83
11080,31191,243205.75
11080,31192,320325.87
11080,31193,255298.29
11080,31200,616015.22
11080,31210,180516.63
11080,31220,100096.3
11080,31230,453651.16
11080,31240,378890.97
11080,31250,383096.02
11080,31260,914070.88
11080,31270,499783.81
11080,31280,115688.9
11080,31350,76847.1
11080,31370,306233.34
11080,31380,391456.11
11090,11010,5657001.5
11090,11020,5004373.69
11090,11030,1498874.74
11090,11040,2027403.67
11090,11050,1110908.89
11090,11060,3620909.82
11090,11070,1615019.19
11090,11080,20360701.87
11090,11090,84948667.72
11090,11100,18129029.55
11090,11110,8585778.42
11090,11120,697149.55
11090,11130,1054663.6
11090,11140,1401693.29
11090,11150,251761.52
11090,11160,611031.47
11090,11170,455477.9
11090,11180,267987.98
11090,11190,1106463.48
11090,11200,551995.15
11090,11210,459635.8
11090,11220,1674133.58
11090,11230,3114563.75
11090,11240,1314410.41
11090,11250,680094.04
11090,23010,277133.18
11090,23020,12659.28
11090,23030,78766.31999999999
11090,23040,75056.71
11090,23050,95232.51
11090,23060,116524.06999999999
11090,23070,80468.73
11090,23080,172559.13999999998
11090,23310,52042.31
11090,23320,6980.0199999999995
11090,31011,50627.39
11090,31012,63510.14
11090,31013,63311.97
11090,31014,73777.24
11090,31021,148726.43
11090,31022,94333.09
11090,31023,338614.21
11090,31030,2947045.5
11090,31041,74738.42
11090,31042,154140.84
11090,31050,289716.01
11090,31060,112927.61
11090,31070,98941.21
11090,31080,214893.08
11090,31091,65656.87
11090,31092,100343.99
11090,31101,659430.82
11090,31103,274009.47
11090,31104,193402.17
11090,31110,162766.85
11090,31120,465184.71
11090,31130,1849750.23
11090,31140,42214.6
11090,31150,121654.66
11090,31160,110969.2
11090,31170,65600.13
11090,31180,378117.98
11090,31191,126650.93
11090,31192,144350.25
11090,31193,111995.87
11090,31200,359336.29
11090,31210,112870.43
11090,31220,60391.89
11090,31230,234865.28
11090,31240,219576.91999999998
11090,31250,217306.93
11090,31260,1102413.48
11090,31270,528488.9
11090,31280,66500.35
11090,31350,83568.48
11090,31370,176238.66
11090,31380,194451.93
11100,11010,3716603.89
11100,11020,3462881.42
11100,11030,1083021.69
11100,11040,1468125.79
11100,11050,1111480.3
11100,11060,2790278.86
11100,11070,2136250.6
11100,11080,5236599.57
11100,11090,17794634.6
11100,11100,72869232.8
11100,11110,20445214.55
11100,11120,442986.14
11100,11130,691062.8099999999
11100,11140,997963.62
11100,11150,180731.07
11100,11160,461303.7
11100,11170,379254.94
11100,11180,220144.5
11100,11190,891285.71
11100,11200,441332.58
11100,11210,330336.69
11100,11220,1446120.17
11100,11230,2632854.95
11100,11240,1211536.1
11100,11250,654899.8
11100,23010,249587.99
11100,23020,8071.18
11100,23030,58486.75
11100,23040,61093.1
11100,23050,81947.42
11100,23060,97012.11
11100,23070,60648.979999999996
11100,23080,152697.8
11100,23310,55042.09
11100,23320,5932.01
11100,31011,43384.3
11100,31012,50691.59
11100,31013,49537.57
11100,31014,64797.99
11100,31021,136049.92
11100,31022,86703.12
11100,31023,299322.42
11100,31030,7492175.76
11100,31041,59250.45
11100,31042,130008.85
11100,31050,230009.29
11100,31060,93642.45
11100,31070,84124.98
11100,31080,518766.93
11100,31091,43819.97
11100,31092,86329.47
11100,31101,541009.63
11100,31103,251485.07
11100,31104,152794.19
11100,31110,120663.84
11100,31120,541963.49
11100,31130,2318624.47
11100,31140,36755.09
11100,31150,98939.04
11100,31160,74963.18
11100,31170,57888.53
11100,31180,377629.85
11100,31191,115496.37
11100,31192,119995.36
11100,31193,92081.61
11100,31200,400499.92
11100,31210,113023.1
11100,31220,53365.58
11100,31230,201824.53
11100,31240,181840.01
11100,31250,200910.12
11100,31260,2052914.35
11100,31270,911675.16
11100,31280,66328.69
11100,31350,148651.62
11100,31370,205620.95
11100,31380,212202.22
11110,11010,5298709.54
11110,11020,5104647.1
11110,11030,1936692.66
11110,11040,3123673.2199999997
11110,11050,3516582.32
11110,11060,6745262.09
11110,11070,13852532.77
11110,11080,11347250.09
11110,11090,8642088.3
11110,11100,20521822.79
11110,11110,169274706.67
11110,11120,805036.57
11110,11130,1274523.44
11110,11140,1890895.51
11110,11150,365345.52999999997
11110,11160,910078.46
11110,11170,650810.75
11110,11180,399423.72
11110,11190,1627341.79
11110,11200,892313.69
11110,11210,682687.75
11110,11220,3134025.93
11110,11230,6314114.08
11110,11240,3005603.42
11110,11250,1746382.92
11110,23010,504771.02999999997
11110,23020,13728.31
11110,23030,109717.25
11110,23040,123103.55
11110,23050,154744.1
11110,23060,184026.04
11110,23070,107946.06999999999
11110,23080,276820.2
11110,23310,91145.91
11110,23320,9346.88
11110,31011,86603.1
11110,31012,103818.4
11110,31013,97838.26
11110,31014,148142.63999999998
11110,31021,337557.44
11110,31022,193932.51
11110,31023,729968.39
11110,31030,9827028.7
11110,31041,116787.68
11110,31042,240360.34
11110,31050,444061.45
11110,31060,188831.48
11110,31070,160118.9
11110,31080,594485.94
11110,31091,84868.63
11110,31092,136716.56
11110,31101,888587.5
11110,31103,453254.48
11110,31104,283509.02
11110,31110,220745.07
11110,31120,2402540.9
11110,31130,11466271.14
11110,31140,69952.36
11110,31150,178492.38
11110,31160,115998.15
11110,31170,106310.69
11110,31180,1105678.49
11110,31191,240876.7
11110,31192,264231.51
11110,31193,205417.0
11110,31200,612572.81
11110,31210,256695.29
11110,31220,117293.55
11110,31230,362520.29
11110,31240,345952.94
11110,31250,453176.11
11110,31260,2599656.01
11110,31270,1576386.23
11110,31280,146503.78
11110,31350,174167.32
11110,31370,456761.99
11110,31380,527504.14
11120,11010,9312748.81
11120,11020,6392459.36
11120,11030,2725834.27
11120,11040,1475586.79
11120,11050,769553.2
11120,11060,1362391.81
11120,11070,510497.33
11120,11080,1774180.53
11120,11090,699727.48
11120,11100,445728.8
11120,11110,810205.95
11120,11120,141644808.08
11120,11130,19257728.05
11120,11140,13716290.27
11120,11150,1098559.08
11120,11160,2735731.82
11120,11170,1281567.87
11120,11180,704335.24
11120,11190,3636199.62
11120,11200,1007405.04
11120,11210,999102.39
11120,11220,2860628.23
11120,11230,4375119.62
11120,11240,1413369.5
11120,11250,610445.39
11120,23010,724079.33
11120,23020,28164.95
11120,23030,170122.97
11120,23040,181479.38999999998
11120,23050,212285.47
11120,23060,311528.72
11120,23070,268615.0
11120,23080,641439.38
11120,23310,179034.05
11120,23320,14363.1
11120,31011,79876.42
11120,31012,101812.11
11120,31013,95650.42
11120,31014,122630.5
11120,31021,204929.8
11120,31022,98557.42
11120,31023,502868.04
11120,31030,705935.96
11120,31041,149862.2
11120,31042,247464.82
11120,31050,819085.82
11120,31060,317582.96
11120,31070,137621.1
11120,31080,79913.96
11120,31091,101481.74
11120,31092,166659.52
11120,31101,21239275.75
11120,31103,3457611.66
11120,31104,1642463.92
11120,31110,229980.3
11120,31120,223835.02
11120,31130,704364.51
11120,31140,58752.11
11120,31150,264133.1
11120,31160,137713.73
11120,31170,98705.02
11120,31180,307785.25
11120,31191,179807.89
11120,31192,194140.23
11120,31193,152863.2
11120,31200,2694394.11
11120,31210,111684.44
11120,31220,82292.61
11120,31230,1084743.53
11120,31240,337713.0
11120,31250,213396.47
11120,31260,1879182.89
11120,31270,231914.24
11120,31280,76133.14
11120,31350,74948.38
11120,31370,175928.68
11120,31380,188189.46
11130,11010,15509151.36
11130,11020,11179456.27
11130,11030,5259104.6
11130,11040,2270164.27
11130,11050,1402998.46
11130,11060,1958122.79
11130,11070,742012.75
11130,11080,2614402.88
11130,11090,1052727.21
11130,11100,663959.63
11130,11110,1245267.25
11130,11120,19155968.37
11130,11130,103513343.66
11130,11140,31857917.02
11130,11150,2173279.27
11130,11160,3796463.46
11130,11170,1905562.24
11130,11180,821378.87
11130,11190,5843520.17
11130,11200,1799322.3699999999
11130,11210,1920355.96
11130,11220,3623344.93
11130,11230,5051794.62
11130,11240,2192186.39
11130,11250,988994.92
11130,23010,809095.39
11130,23020,32656.1
11130,23030,287371.38
11130,23040,398922.61
11130,23050,335289.19
11130,23060,550562.58
11130,23070,370434.48
11130,23080,850313.47
11130,23310,169752.13999999998
11130,23320,9255.52
11130,31011,171615.58
11130,31012,172315.25
11130,31013,149194.83
11130,31014,253778.49
11130,31021,269735.68
11130,31022,141529.1
11130,31023,940992.1900000001
11130,31030,526311.1
11130,31041,269993.84
11130,31042,420776.64
11130,31050,1390573.99
11130,31060,531364.25
11130,31070,171610.19
11130,31080,66955.49
11130,31091,156537.82
11130,31092,202908.46
11130,31101,6072058.61
11130,31103,1937866.86
11130,31104,1225320.03
11130,31110,305295.75
11130,31120,312702.81
11130,31130,879876.57
11130,31140,79818.76
11130,31150,338375.06
11130,31160,259142.37
11130,31170,164420.29
11130,31180,461049.08999999997
11130,31191,221151.13999999998
11130,31192,366881.5
11130,31193,327895.55
11130,31200,1636186.38
11130,31210,113272.29
11130,31220,87741.01
11130,31230,1330383.33
11130,31240,453941.04
11130,31250,263477.29
11130,31260,462713.33
11130,31270,157393.97
11130,31280,75255.26
11130,31350,57001.02
11130,31370,150172.9
11130,31380,186896.55
11140,11010,7928373.75
11140,11020,9621615.26
11140,11030,13123206.1
11140,11040,3262071.96
11140,11050,2320854.31
11140,11060,2753431.15
11140,11070,1317987.01
11140,11080,3365235.03
11140,11090,1443855.53
11140,11100,997267.71
11140,11110,1909009.6
11140,11120,14018252.42
11140,11130,32125211.32
11140,11140,164509144.67
11140,11150,4940458.21
11140,11160,9407382.88
11140,11170,4122693.4899999998
11140,11180,1756750.83
11140,11190,14507274.01
11140,11200,3682693.0
11140,11210,4578223.89
11140,11220,5086298.32
11140,11230,7161474.52
11140,11240,3211625.4899999998
11140,11250,1552761.9
11140,23010,1471831.03
11140,23020,65804.21
11140,23030,614992.37
11140,23040,625545.29
11140,23050,739368.52
11140,23060,1248748.19
11140,23070,985171.95
11140,23080,2273753.28
11140,23310,249317.71
11140,23320,13450.95
11140,31011,290030.91
11140,31012,327495.0
11140,31013,287741.83
11140,31014,426204.37
11140,31021,472755.3
11140,31022,253517.58
11140,31023,1344242.78
11140,31030,809252.23
11140,31041,554564.94
11140,31042,795335.59
11140,31050,3082879.36
11140,31060,1205732.73
11140,31070,275978.26
11140,31080,89730.73
11140,31091,329681.65
11140,31092,386763.48
11140,31101,8978462.79
11140,31103,3220864.03
11140,31104,2339194.53
11140,31110,469127.07
11140,31120,504236.42
11140,31130,1395703.12
11140,31140,126844.59
11140,31150,686821.79
11140,31160,508427.3
11140,31170,297042.14
11140,31180,784792.73
11140,31191,327335.51
11140,31192,546489.34
11140,31193,519450.02
11140,31200,3114189.5
11140,31210,154223.04
11140,31220,137238.62
11140,31230,3056415.41
11140,31240,765822.07
